LotFrontage,LotArea,Utilities,BldgType,HouseStyle,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Functional,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MSSubClass_MSZoning,Street_Alley,LandContour_LandSlope,LotShape_LotConfig,Neighborhood_Condition1_Condition2,OverallQual_OverallCond,"SUB(YearRemodAdd, YearBuilt)","SUB(NOW, YearBuilt)","SUB(NOW, YearRemodAdd)",RoofStyle_RoofMatl,Exterior1st_Exterior2nd,ExterQual_ExterCond,BsmtQual_BsmtCond_BsmtExposure_BsmtFinType1_BsmtFinType2,Heating_HeatingQC,KitchenAbvGr_KitchenQual,Fireplaces_FireplaceQu,GarageType_GarageYrBlt_GarageFinish_GarageCars_GarageArea_GarageQual_GarageCond,OpenPorchSF_EnclosedPorch_3SsnPorch_ScreenPorch,"DATEDIFF(NOW, YrSold_MoSold)",SaleType_SaleCondition,"ADD(1stFlrSF, 2ndFlrSF)","DIVIDE(2ndFlrSF, 1stFlrSF)","DIVIDE(1stFlrSF, LotArea)","DIVIDE(2ndFlrSF, LotArea)","DIVIDE(ADD(1stFlrSF, 2ndFlrSF), LotArea)"
65.0,8450,0,0,0,0,196.0,0,706,0,150,856,0,0,856,854,0,1710,1,0,2,1,3,8,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,4010,0,1710,0.9976635514018691,0.101301775147929,0.10106508875739645,0.20236686390532543
80.0,9600,0,0,1,1,0.0,1,978,0,284,1262,0,0,1262,0,0,1262,0,1,2,0,3,6,0,0,298,0,-1,-1,-1,0,1,0,0,1,1,1,0,43,43,0,1,1,1,0,1,1,1,1,4286,0,1262,0.0,0.13145833333333334,0.0,0.13145833333333334
68.0,11250,0,0,0,0,162.0,0,486,0,434,920,0,0,920,866,0,1786,1,0,2,1,3,6,0,0,0,0,-1,-1,-1,0,0,0,0,2,0,0,1,18,17,0,0,0,2,0,0,1,2,2,3797,0,1786,0.941304347826087,0.08177777777777778,0.07697777777777778,0.15875555555555557
60.0,9550,0,0,0,1,0.0,2,216,0,540,756,0,0,961,756,0,1717,1,0,1,0,3,7,0,0,0,0,-1,-1,-1,0,2,0,0,3,2,0,55,104,49,0,2,1,3,1,0,2,3,3,4740,1,1717,0.7866805411030177,0.1006282722513089,0.07916230366492147,0.17979057591623038
84.0,14260,0,0,0,0,350.0,0,655,0,490,1145,0,0,1145,1053,0,2198,1,0,2,1,4,9,0,0,192,0,-1,-1,-1,0,0,0,0,4,3,2,0,19,19,0,0,0,4,0,0,1,4,4,3706,0,2198,0.9196506550218341,0.0802945301542777,0.0738429172510519,0.1541374474053296
85.0,14115,0,0,2,1,0.0,3,732,0,64,796,0,0,796,566,0,1362,1,0,1,1,1,5,0,0,40,0,-1,0,0,700,3,0,0,2,4,3,2,26,24,0,0,1,0,0,1,0,5,5,3402,0,1362,0.7110552763819096,0.05639390719093163,0.04009918526390365,0.09649309245483528
75.0,10084,0,0,1,2,186.0,0,1369,0,317,1686,0,0,1694,0,0,1694,1,0,2,0,3,7,0,0,255,0,-1,-1,-1,0,1,0,0,0,5,2,1,15,14,0,0,0,5,0,0,2,6,6,4194,0,1694,0.0,0.16798889329631098,0.0,0.16798889329631098
,10382,0,0,0,2,240.0,1,859,32,216,1107,0,0,1107,983,0,2090,1,0,2,1,3,7,0,0,235,0,-1,-1,0,350,0,0,0,3,6,4,0,46,46,0,3,1,6,0,1,3,7,7,3371,0,2090,0.8879855465221319,0.10662685417068002,0.09468310537468695,0.20130995954536698
51.0,6120,0,0,2,1,0.0,2,0,0,952,952,0,1,1022,752,0,1774,0,0,2,0,2,8,1,0,90,0,-1,-1,-1,0,4,0,0,0,7,0,19,88,69,0,4,1,7,1,2,3,8,8,3950,1,1774,0.735812133072407,0.16699346405228757,0.12287581699346405,0.28986928104575166
50.0,7420,0,1,3,1,0.0,2,851,0,140,991,0,0,1077,0,0,1077,1,0,1,0,2,5,0,0,0,0,-1,-1,-1,0,5,0,0,5,8,5,11,80,69,0,1,1,8,0,2,3,9,9,4041,0,1077,0.0,0.14514824797843665,0.0,0.14514824797843665
